Date,Australian_Equities,Australian_Property,Global_Equities_$A,Global_Equities_LCL,Aust._Bonds,Global_Property_Hdg,Cash,Global_Bonds,Alts
1/09/2005,5.08,0.02,0.81,3.26,-0.62,1.29,0.46,-0.31,1.63
1/10/2005,-3.85,-1.87,-0.17,-1.84,0.18,-2.86,0.48,-0.51,-1.46
1/11/2005,4.49,3.36,4.30,4.26,0.75,4.69,0.46,0.60,1.48
1/12/2005,3.08,5.25,3.13,2.16,0.91,2.26,0.46,0.95,1.61
1/01/2006,3.49,-1.18,1.24,3.22,0.18,5.01,0.49,0.98,3.23
1/02/2006,0.58,3.51,1.72,0.36,0.57,3.46,0.43,0.37,0.34
1/03/2006,4.74,-0.53,6.52,2.44,0.11,4.63,0.47,-0.86,1.82
1/04/2006,2.56,-0.25,-3.31,0.92,-0.59,-2.54,0.41,-0.25,2.22
1/05/2006,-4.70,-1.40,-2.71,-4.29,0.43,-3.03,0.51,0.37,-1.30
1/06/2006,2.11,6.30,1.39,0.50,0.17,4.67,0.48,0.04,-0.11
1/07/2006,-1.72,2.69,-2.46,0.64,0.08,3.87,0.48,1.20,0.29
1/08/2006,3.33,3.76,2.95,2.59,1.06,3.11,0.52,1.55,0.85
1/09/2006,1.33,3.82,3.62,1.86,0.82,3.26,0.49,0.78,0.13
1/10/2006,4.57,0.87,-0.14,3.07,-0.17,4.61,0.52,0.60,1.77
1/11/2006,2.31,5.30,0.39,1.15,0.76,4.33,0.52,0.93,2.07
1/12/2006,3.69,7.24,2.16,2.65,-0.34,2.64,0.50,-0.40,1.83
1/01/2007,1.83,2.37,2.98,1.81,0.50,5.51,0.58,0.04,1.33
1/02/2007,1.63,-0.64,-2.31,-1.22,1.20,-0.63,0.49,1.32,0.74
1/03/2007,3.29,-4.18,-0.78,1.51,-0.28,-0.48,0.51,0.05,1.24
1/04/2007,2.89,3.53,1.29,3.58,0.71,-0.11,0.57,0.40,2.02
1/05/2007,2.64,4.18,3.43,3.51,0.05,0.94,0.54,-0.60,2.31
1/06/2007,-0.17,-4.98,-3.30,-0.97,-0.47,-8.25,0.50,-0.27,0.78
1/07/2007,-2.08,-4.78,-3.20,-3.06,0.69,-6.93,0.54,1.09,0.00
1/08/2007,2.44,8.37,5.30,-0.11,0.86,4.69,0.53,1.28,-1.53
1/09/2007,5.56,2.26,-3.98,2.95,-0.09,2.00,0.54,0.53,2.71
1/10/2007,2.90,-0.50,-1.72,2.15,0.00,0.17,0.61,0.96,3.16
1/11/2007,-2.83,-6.34,0.63,-4.29,0.46,-8.37,0.56,1.33,-1.21
1/12/2007,-2.72,-6.75,-0.50,-0.72,-0.16,-4.14,0.60,0.34,0.47
1/01/2008,-10.85,-13.92,-9.08,-8.31,1.22,-3.19,0.60,1.80,-1.48
1/02/2008,-0.69,-4.96,-5.26,-1.68,-0.62,-1.76,0.54,0.60,1.61
1/03/2008,-3.31,0.41,1.65,-2.05,1.60,2.67,0.67,0.31,-2.11
1/04/2008,4.53,4.26,1.86,6.26,0.02,3.97,0.65,-0.14,0.57
1/05/2008,1.53,-9.03,0.32,1.74,0.09,-1.54,0.64,-0.51,2.00
1/06/2008,-7.46,-10.90,-8.63,-8.25,0.31,-10.36,0.65,0.08,0.00
